date,code,name,score_ml,total_score,max_score,market_state,track
2026-01-28,600711,,11,61,115,strong,0
2026-01-29,600362,,14,94,115,strong,0
2026-02-05,688586,,14,77,115,strong,0
2026-02-06,301018,,14,84,115,choppy,0
2026-02-09,002493,,14,64,115,strong,0
2026-02-09,001217,,11,71,115,strong,0
2026-02-10,300956,,14,67,115,choppy,0
2026-02-10,603330,,13,63,115,choppy,0
2026-02-11,603687,,13,62,115,choppy,0
2026-02-11,605589,,13,67,115,choppy,0
2026-02-11,002859,,11,61,115,choppy,0
2026-02-12,688033,,14,82,115,strong,0
2026-02-12,600989,,13,58,115,strong,0
2026-02-12,000962,,14,92,115,strong,0
2026-02-12,688150,,14,91,115,strong,0
2026-02-12,688147,,14,94,115,strong,0
2026-02-13,603045,,14,76,115,choppy,0
2026-02-24,688181,,14,73,115,strong,0
2026-02-24,301528,,13,73,115,strong,0
2026-02-24,601808,,13,73,115,strong,0
2026-02-24,002297,,11,65,115,strong,0
2026-02-24,605020,,14,74,115,strong,0
2026-02-24,603588,,12,64,115,strong,0
2026-02-24,688260,,12,73,115,strong,0
2026-02-24,688586,,14,71,115,strong,0
2026-02-24,301071,,10,88,115,strong,0
2026-02-24,300157,,13,72,115,strong,0
2026-02-25,002145,,14,62,115,strong,0
2026-02-25,600871,,14,66,115,strong,0
2026-02-25,002386,,13,62,115,strong,0
